FID IID Population
HG00098 HG00098 EUR
HG00100 HG00100 EUR
HG00106 HG00106 EUR
HG00112 HG00112 EUR
HG00114 HG00114 EUR
HG00116 HG00116 EUR
HG00117 HG00117 EUR
HG00118 HG00118 EUR
HG00119 HG00119 EUR
HG00120 HG00120 EUR
HG00122 HG00122 EUR
HG00123 HG00123 EUR
HG00124 HG00124 EUR
HG00126 HG00126 EUR
HG00131 HG00131 EUR
HG00141 HG00141 EUR
HG00142 HG00142 EUR
HG00143 HG00143 EUR
HG00144 HG00144 EUR
HG00145 HG00145 EUR
HG00146 HG00146 EUR
HG00147 HG00147 EUR
HG00148 HG00148 EUR
HG00149 HG00149 EUR
HG00150 HG00150 EUR
HG00151 HG00151 EUR
HG00152 HG00152 EUR
HG00153 HG00153 EUR
HG00156 HG00156 EUR
HG00158 HG00158 EUR
HG00159 HG00159 EUR
HG00160 HG00160 EUR
HG00171 HG00171 EUR
HG00173 HG00173 EUR
HG00174 HG00174 EUR
HG00176 HG00176 EUR
HG00177 HG00177 EUR
HG00178 HG00178 EUR
HG00179 HG00179 EUR
HG00180 HG00180 EUR
HG00181 HG00181 EUR
HG00182 HG00182 EUR
HG00183 HG00183 EUR
HG00185 HG00185 EUR
HG00186 HG00186 EUR
HG00187 HG00187 EUR
HG00188 HG00188 EUR
HG00189 HG00189 EUR
HG00190 HG00190 EUR
HG00231 HG00231 EUR
HG00239 HG00239 EUR
HG00242 HG00242 EUR
HG00243 HG00243 EUR
HG00244 HG00244 EUR
HG00245 HG00245 EUR
HG00247 HG00247 EUR
HG00258 HG00258 EUR
HG00262 HG00262 EUR
HG00264 HG00264 EUR
HG00265 HG00265 EUR
HG00266 HG00266 EUR
HG00267 HG00267 EUR
HG00269 HG00269 EUR
HG00270 HG00270 EUR
HG00272 HG00272 EUR
HG00306 HG00306 EUR
HG00308 HG00308 EUR
HG00311 HG00311 EUR
HG00312 HG00312 EUR
HG00357 HG00357 EUR
HG00361 HG00361 EUR
HG00366 HG00366 EUR
HG00367 HG00367 EUR
HG00368 HG00368 EUR
HG00369 HG00369 EUR
HG00372 HG00372 EUR
HG00373 HG00373 EUR
HG00377 HG00377 EUR
HG00380 HG00380 EUR
HG00403 HG00403 ASN
HG00404 HG00404 ASN
HG00406 HG00406 ASN
HG00407 HG00407 ASN
HG00445 HG00445 ASN
HG00446 HG00446 ASN
HG00452 HG00452 ASN
HG00457 HG00457 ASN
HG00553 HG00553 AMR
HG00554 HG00554 AMR
HG00559 HG00559 ASN
HG00560 HG00560 ASN
HG00565 HG00565 ASN
HG00566 HG00566 ASN
HG00577 HG00577 ASN
HG00578 HG00578 ASN
HG00592 HG00592 ASN
HG00593 HG00593 ASN
HG00596 HG00596 ASN
HG00610 HG00610 ASN
HG00611 HG00611 ASN
HG00625 HG00625 ASN
HG00626 HG00626 ASN
HG00628 HG00628 ASN
HG00629 HG00629 ASN
HG00634 HG00634 ASN
HG00635 HG00635 ASN
HG00637 HG00637 AMR
